eq,chi,obj
C2H4O(574) + C3H3O(475) = S(2659),"AMChI=1/C5H7O2/c1-4-3(6)2-5-7/h4-5,7H,1-2H2/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-9: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [7, 8, 0, 1, 9, 2, 10, 12, 11, 13, 4, 3, 5, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H4O(574) + C3H3O(475) = S(329),"AMChI=1/C5H7O2/c6-3-4-1-2-5-7/h4-5,7H,1-2H2/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [7, 8, 0, 9, 1, 10, 2, 12, 11, 13, 3, 4, 5, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H4O(574) + C3H3O(475) = S(335),"AMChI=1/C5H7O2/c1-4-3(6)5(2)7/h4-5,7H,1-2H2/k5-3/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-9: {order: 0.1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [7, 0, 8, 1, 9, 2, 10, 12, 11, 3, 4, 13, 5, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H4O(574) + C3H5(70) = C5H9O(200),"AMChI=1/C5H9O/c1-4-2-3-5-6/h4-6H,1-3H2/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  7-9: {order: 1, stereo_parity: null}
  7-10: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-12: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [8, 9, 7, 0, 1, 2, 12, 13, 14, 11, 10, 3, 4, 5, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H4O(574) + C3H5(70) = S(1151),"AMChI=1/C5H9O/c1-4-3-5(2)6/h4-6H,1-3H2/k5-3/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-7: {order: 0.1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  7-9: {order: 1, stereo_parity: null}
  7-10: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-12: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [8, 0, 9, 7, 1, 2, 12, 13, 3, 4, 14, 10, 11, 5, 6]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H3(38) = C#CCCC(47),"AMChI=1/C5H8/c1-5-3-2-4/h1H,2-3H2,4H3/k3-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-8: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-9: {order: 1, stereo_parity: null}
  7-10: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-11: {order: 1, stereo_parity: null}
  8-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12]
products keys:
- [7, 1, 9, 0, 8, 10, 4, 5, 6, 2, 3, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H3(38) = C5H8(677),"AMChI=1/C5H8/c2-5-1-3-4/h1H,2-3H2,4H3/k3-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-9: {order: 1, stereo_parity: null}
  7-10: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-11: {order: 1, stereo_parity: null}
  8-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12]
products keys:
- [8, 1, 9, 0, 7, 11, 12, 4, 5, 6, 2, 3, 10]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H3O(471) = S(1514),"AMChI=1/C5H8O/c1-5-4(2-3)6-5/h4H,1-2H2,3H3/k4-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-8: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-9: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-10: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [1, 7, 0, 9, 8, 10, 4, 5, 6, 11, 12, 2, 3, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H3O(474) = S(1475),"AMChI=1/C5H8O/c3-2-1-4-5-6/h1,4-5H,2H2,3H3/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-12: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
  9-13: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [1, 0, 7, 8, 9, 10, 4, 5, 6, 2, 3, 11, 12, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H3O(475) = S(1785),"AMChI=1/C5H8O/c3-1-2-5-4-6/h5H,1-2H2,3H3/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13]
products keys:
- [1, 0, 7, 8, 9, 10, 4, 5, 6, 2, 3, 11, 12, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H4O(256) = C5H9O(120),"AMChI=1/C5H9O/c3-1-2-4-5-6/h5-6H,1-2H2,3H3/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
  9-13: {order: 1, stereo_parity: null}
  10-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 0, 7, 8, 9, 10, 4, 5, 6, 2, 3, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H4O(256) = C5H9O(871),"AMChI=1/C5H9O/c1-4-5(6)2-3/h5-6H,1-2H2,3H3/k5-2/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-9: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
  9-13: {order: 1, stereo_parity: null}
  10-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [7, 1, 8, 0, 9, 10, 11, 12, 4, 5, 6, 2, 3, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
C2H5(112) + C3H4O(267) = C5H9O(886),"AMChI=1/C5H9O/c3-1-2-4-5-6/h4-5H,1-2H2,3H3/k2-1/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-7: {order: 0.1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-5: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
  8-9: {order: 1, stereo_parity: null}
  8-13: {order: 1, stereo_parity: null}
  9-10: {order: 1, stereo_parity: null}
  9-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4, 5, 6]
- [7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 0, 7, 8, 9, 10, 4, 5, 6, 2, 3, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
